Block,Variable_Name,Variable_Type,Format,Required,Terms
adverseEvents,User Defined ID,character,table,true,
adverseEvents,Subject ID,character,table,true,
adverseEvents,Study ID,character,table,true,
adverseEvents,Name Reported,character,table,true,
adverseEvents,Name Preferred,character,table,,
adverseEvents,Severity Reported,character,table,true,Grade 1 Mild Adverse Event;Grade 2 Moderate Adverse Event;Grade 3 Severe Adverse Event;Grade 4 Life Threatening or Disabling Adverse Event;Grade 5 Death Related to Adverse Event;Not Specified
adverseEvents,Outcome Reported,character,table,true,
adverseEvents,Start Study Day,character,table,,
adverseEvents,End Study Day,character,table,,
adverseEvents,Relation To Study Treatment,character,table,true,
adverseEvents,Organ Or Body System Reported,character,table,,
adverseEvents,Description,character,table,,
adverseEvents,Location Of Reaction Reported,character,table,,
adverseEvents,Study Treatment Action Taken,character,table,,
adverseEvents,Relation To Nonstudy Treatment,character,table,,
adverseEvents,Causality,character,table,,
adverseEvents,Start Time,character,table,,
adverseEvents,End Time,character,table,,
