Block,Variable_Name,Variable_Type,Format,Required,Terms
assessments,Subject ID,character,table,true,
assessments,Assessment Panel ID,character,table,true,
assessments,Study ID,character,table,,
assessments,Name Reported,character,table,,
assessments,Assessment Type,character,table,,
assessments,Status,character,table,,
assessments,CRF File Names,character,table,,
assessments,Result Separator Column,character,table,,
assessments,User Defined ID,character,table,true,
assessments,Planned Visit ID,character,table,true,
assessments,Name Reported,character,table,true,
assessments,Study Day,double,table,true,
assessments,Age At Onset Reported,double,table,,
assessments,Age At Onset Unit Reported,character,table,,d.p.c.;Days;Hours;Minutes;Months;Not Specified; Seconds; Weeks; Years
assessments,Is Clinically Significant,character,table,,
assessments,Location Of Finding Reported,character,table,,
assessments,Organ Or Body System Reported,character,table,,
assessments,Result Value Reported,double,table,,
assessments,Result Unit Reported,character,table,,C;cells;cells/ul;Cq;Ct;Delta Ct;Delta Delta Ct;F;FPKM;gm;HAU;IU;K;M;MFI at 90th percentile;mg;mg/ml;ml;mM;MOI;ng;ng/ml;ng/nl;ng/ul;nl;nM;Not Specified;percentage;pg;pg/ml;pg/nl;pg/ul;pl;pM;RPKM;stim/unstim fold change;TCID50;TPM;ug;ug/ml;ug/ul;ul;uM;units/ml
assessments,Result Value Category,character,table,,
assessments,Subject Position Reported,character,table,,
assessments,Time Of Day,character,table,,
assessments,Verbatim Question,character,table,,
assessments,Who Is Assessed,character,table,,
