"name","link","description","id","lookup"
"Grade 1 Mild Adverse Event","https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=15.08e&code=C41338","A type of adverse event that is usually transient and may require only minimal treatment or therapeutic intervention. The event does not generally interfere with usual activities of daily living.",NA,"lk_adverse_event_severity"
"Grade 2 Moderate Adverse Event","https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=15.08e&code=C41339","A type of adverse event that is usually alleviated with additional specific therapeutic intervention. The event interferes with usual activities of daily living, causing discomfort but poses no significant or permanent risk of harm to the research participant.",NA,"lk_adverse_event_severity"
"Grade 3 Severe Adverse Event","https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=15.08e&code=C41340","A type of adverse event that requires intensive therapeutic intervention. The event interrupts usual activities of daily living, or significantly affects clinical status. The event possesses a significant risk of harm to the research participant and hospitalization may be required.",NA,"lk_adverse_event_severity"
"Grade 4 Life Threatening or Disabling Adverse Event","https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=15.08e&code=C41337","An adverse event, and/or its immediate sequelae, which is associated with an imminent risk of death or which is associated with physical or mental disabilities that affect or limit the ability of a person to perform activities of daily living (eating, ambulation, toileting, etc.)",NA,"lk_adverse_event_severity"
"Grade 5 Death Related to Adverse Event","https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=15.08e&code=C48275","The termination of life as a result of an adverse event.",NA,"lk_adverse_event_severity"
"Not Specified","","Adverse Event is not specified or not received. If no Adverse Event value is received, then this is the system default value.",NA,"lk_adverse_event_severity"
"Age at enrollment","http://bioportal.bioontology.org/ontologies/OBI?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPATO_0000011","Age Event is the Age at enrollment. In the case of a subject enrolled in multiple studies, this value is the minimum age for all the studies.","","lk_age_event"
"Age at infection","http://bioportal.bioontology.org/ontologies/OBI?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPATO_0000011","Age Event is the Age at infection.","","lk_age_event"
"Age at initial treatment","http://bioportal.bioontology.org/ontologies/OBI?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPATO_0000011","Age Event is the Age at initial treatment.","","lk_age_event"
"Age at initial vaccine administration","http://bioportal.bioontology.org/ontologies/OBI?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPATO_0000011","Age Event is the Age at initial vaccine administration.","","lk_age_event"
"Age at Study Day 0","http://bioportal.bioontology.org/ontologies/OBI?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPATO_0000011","Age Event is the Age at Study Day 0.","","lk_age_event"
"Not Specified","http://bioportal.bioontology.org/ontologies/OBI?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPATO_0000011","Age Event is not specified or not received. If no Age Event value is received, then this is the system default value.","","lk_age_event"
"Other","http://bioportal.bioontology.org/ontologies/OBI?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPATO_0000011","Age Event is some Other value not in CV Terms.","","lk_age_event"
"gm","http://purl.obolibrary.org/obo/UO_0000021","gram","","lk_amount_unit"
"HAU","http://en.wikipedia.org/wiki/Virus_quantification","hemagglutination units","","lk_amount_unit"
"IU","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C48579&ns=NCI_Thesaurus","The unitage assigned by the WHO to International Biological Standards - substances, classed as biological according to the criteria provided by WHO Expert Committee on Biological Standardization (e.g. hormones, enzymes, and vaccines), to enable the results of biological and immunological assay procedures to be expressed in the same way throughout the world. The definition of an international unit is generally arbitrary and technical, and has to be officially approved by the International Conference for Unification of Formulae.","","lk_amount_unit"
"M","http://purl.obolibrary.org/obo/UO_0000062","molar","","lk_amount_unit"
"mg","http://purl.obolibrary.org/obo/UO_0000022","milligram","","lk_amount_unit"
"mg/ml","http://purl.bioontology.org/ontology/SNOMEDCT/258798001","microgram per milliliter","","lk_amount_unit"
"ml","http://purl.obolibrary.org/obo/UO_0000098","milliliter","","lk_amount_unit"
"mM","http://purl.obolibrary.org/obo/UO_0000063","millimolar","","lk_amount_unit"
"MOI","http://en.wikipedia.org/wiki/Multiplicity_of_infection","multiplicity of infection","","lk_amount_unit"
"ng","http://purl.obolibrary.org/obo/UO_0000024","nanogram","","lk_amount_unit"
"ng/ml","http://purl.bioontology.org/ontology/SNOMEDCT/258806002","nanogram per milliliter","","lk_amount_unit"
"ng/nl","","nanogram per nanoliter","","lk_amount_unit"
"ng/ul","http://purl.bioontology.org/ontology/SNOMEDCT/272082007","nanogram per microliter","","lk_amount_unit"
"nl","http://purl.obolibrary.org/obo/UO_0000102","nanoliter","","lk_amount_unit"
"nM","http://purl.obolibrary.org/obo/UO_0000065","nanomolar","","lk_amount_unit"
"Not Specified","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C38046&ns=NCI_Thesaurus","No value provided. Not stated explicitly or in detail.","","lk_amount_unit"
"pg","http://purl.obolibrary.org/obo/UO_0000025","picogram","","lk_amount_unit"
"pg/ml","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67327&ns=NCI_Thesaurus","picogram per milliliter","","lk_amount_unit"
"pg/nl","","picogram per nanoliter","","lk_amount_unit"
"pg/ul","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67306&ns=NCI_Thesaurus","picogram per microliter","","lk_amount_unit"
"pl","http://purl.obolibrary.org/obo/UO_0000103","picoliter","","lk_amount_unit"
"pM","http://purl.obolibrary.org/obo/UO_0000066","picomolar","","lk_amount_unit"
"TCID50","http://en.wikipedia.org/wiki/Virus_quantification","mean tissue culture infective dose","","lk_amount_unit"
"ug","http://purl.obolibrary.org/obo/UO_0000023","microgram","","lk_amount_unit"
"ug/ml","http://purl.bioontology.org/ontology/SNOMEDCT/258801007","microgram per milliliter","","lk_amount_unit"
"ug/ul","http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C42576&ns=NCI_Thesaurus","microgram per microliter","","lk_amount_unit"
"ul","http://purl.obolibrary.org/obo/UO_0000101","microliter","","lk_amount_unit"
"uM","http://purl.bioontology.org/ontology/SNOMEDCT/258814008","micromolar","","lk_amount_unit"
"units/ml","http://purl.bioontology.org/ontology/SNOMEDCT/259002007","Enzyme Unit per Milliliter. Unit of catalytic activity concentration defined as activity equal to one enzyme unit per one milliliter of system volume.","","lk_amount_unit"
"ACKR3 ; ACKR3 ; ANA1","http://www.ncbi.nlm.nih.gov/gene/?term=57007","chemokine receptor CXCR7","57007","lk_analyte"
"Ackr3 ; Ackr3 ; ANA475","http://www.ncbi.nlm.nih.gov/gene/?term=12778","chemokine receptor CXCR7","12778","lk_analyte"
"AFP ; AFP ; ANA704","http://www.ncbi.nlm.nih.gov/gene/?term=174","-","174","lk_analyte"
"BAFF ; TNFSF13B ; ANA241","http://www.ncbi.nlm.nih.gov/gene/?term=10673","tumor necrosis factor ligand superfamily member 13B","10673","lk_analyte"
"BDNF ; BDNF ; ANA701","http://www.ncbi.nlm.nih.gov/gene/?term=627","-","627","lk_analyte"
"CCL1 ; CCL1 ; ANA2","http://www.ncbi.nlm.nih.gov/gene/?term=6346","C-C motif chemokine 1","6346","lk_analyte"
"Ccl1 ; Ccl1 ; ANA476","http://www.ncbi.nlm.nih.gov/gene/?term=20290","C-C motif chemokine 1","20290","lk_analyte"
"Ccl11 ; Ccl11 ; ANA477","http://www.ncbi.nlm.nih.gov/gene/?term=20292","eotaxin","20292","lk_analyte"
"CCL13 ; CCL13 ; ANA4","http://www.ncbi.nlm.nih.gov/gene/?term=6357","C-C motif chemokine 13","6357","lk_analyte"
"CCL14 ; CCL14 ; ANA5","http://www.ncbi.nlm.nih.gov/gene/?term=6358","C-C motif chemokine 14","6358","lk_analyte"
"CCL15 ; CCL15 ; ANA6","http://www.ncbi.nlm.nih.gov/gene/?term=6359","C-C motif chemokine 15","6359","lk_analyte"
"CCL16 ; CCL16 ; ANA7","http://www.ncbi.nlm.nih.gov/gene/?term=6360","C-C motif chemokine 16","6360","lk_analyte"
"Ccl17 ; Ccl17 ; ANA478","http://www.ncbi.nlm.nih.gov/gene/?term=20295","C-C motif chemokine 17","20295","lk_analyte"
"CCL18 ; CCL18 ; ANA9","http://www.ncbi.nlm.nih.gov/gene/?term=6362","C-C motif chemokine 18","6362","lk_analyte"
"CCL19 ; CCL19 ; ANA10","http://www.ncbi.nlm.nih.gov/gene/?term=6363","C-C motif chemokine 19","6363","lk_analyte"
"Ccl19 ; Ccl19 ; ANA479","http://www.ncbi.nlm.nih.gov/gene/?term=24047","C-C motif chemokine 19","24047","lk_analyte"
"CCL2 ; CCL2 ; ANA11","http://www.ncbi.nlm.nih.gov/gene/?term=6347","C-C motif chemokine 2","6347","lk_analyte"
"Ccl2 ; Ccl2 ; ANA480","http://www.ncbi.nlm.nih.gov/gene/?term=20296","C-C motif chemokine 2","20296","lk_analyte"
"CCL20 ; CCL20 ; ANA12","http://www.ncbi.nlm.nih.gov/gene/?term=6364","C-C motif chemokine 20","6364","lk_analyte"
"Ccl20 ; Ccl20 ; ANA481","http://www.ncbi.nlm.nih.gov/gene/?term=20297","C-C motif chemokine 20","20297","lk_analyte"
"CCL21 ; CCL21 ; ANA13","http://www.ncbi.nlm.nih.gov/gene/?term=6366","C-C motif chemokine 21","6366","lk_analyte"
"Ccl21a ; Ccl21a ; ANA482","http://www.ncbi.nlm.nih.gov/gene/?term=18829","C-C motif chemokine 21","18829","lk_analyte"
"CCL22 ; CCL22 ; ANA14","http://www.ncbi.nlm.nih.gov/gene/?term=6367","C-C motif chemokine 22","6367","lk_analyte"
"Ccl22 ; Ccl22 ; ANA483","http://www.ncbi.nlm.nih.gov/gene/?term=20299","C-C motif chemokine 22","20299","lk_analyte"
"CCL23 ; CCL23 ; ANA15","http://www.ncbi.nlm.nih.gov/gene/?term=6368","C-C motif chemokine 23","6368","lk_analyte"
"CCL24 ; CCL24 ; ANA16","http://www.ncbi.nlm.nih.gov/gene/?term=6369","C-C motif chemokine 24","6369","lk_analyte"
"Ccl24 ; Ccl24 ; ANA484","http://www.ncbi.nlm.nih.gov/gene/?term=56221","C-C motif chemokine 24","56221","lk_analyte"
"CCL25 ; CCL25 ; ANA17","http://www.ncbi.nlm.nih.gov/gene/?term=6370","C-C motif chemokine 25","6370","lk_analyte"
"Ccl25 ; Ccl25 ; ANA485","http://www.ncbi.nlm.nih.gov/gene/?term=20300","C-C motif chemokine 25","20300","lk_analyte"
"CCL26 ; CCL26 ; ANA18","http://www.ncbi.nlm.nih.gov/gene/?term=10344","C-C motif chemokine 26","10344","lk_analyte"
"Ccl26 ; Ccl26 ; ANA486","http://www.ncbi.nlm.nih.gov/gene/?term=541307","C-C motif chemokine 26","541307","lk_analyte"
"Ccl27a ; Ccl27a ; ANA487","http://www.ncbi.nlm.nih.gov/gene/?term=20301","C-C motif chemokine 27","20301","lk_analyte"
"Ccl3 ; Ccl3 ; ANA488","http://www.ncbi.nlm.nih.gov/gene/?term=20302","C-C motif chemokine 3","20302","lk_analyte"
"CCL3L1 ; CCL3L1 ; ANA21","http://www.ncbi.nlm.nih.gov/gene/?term=6349","-","6349","lk_analyte"
"CCL3L3 ; CCL3L3 ; ANA22","http://www.ncbi.nlm.nih.gov/gene/?term=414062","C-C motif chemokine 3-like 1, full-length form","414062","lk_analyte"
"CCL3P1 ; CCL3P1 ; ANA23","http://www.ncbi.nlm.nih.gov/gene/?term=390788","-","390788","lk_analyte"
"Ccl4 ; Ccl4 ; ANA489","http://www.ncbi.nlm.nih.gov/gene/?term=20303","C-C motif chemokine 4","20303","lk_analyte"
"CCL4L1 ; CCL4L1 ; ANA25","http://www.ncbi.nlm.nih.gov/gene/?term=388372","-","388372","lk_analyte"
"CCL4L2 ; CCL4L2 ; ANA26","http://www.ncbi.nlm.nih.gov/gene/?term=9560","C-C motif chemokine 4-like","9560","lk_analyte"
"Ccl5 ; Ccl5 ; ANA490","http://www.ncbi.nlm.nih.gov/gene/?term=20304","small inducible cytokine A5","20304","lk_analyte"
"Ccl7 ; Ccl7 ; ANA491","http://www.ncbi.nlm.nih.gov/gene/?term=20306","C-C motif chemokine 7","20306","lk_analyte"
"CCL8 ; CCL8 ; ANA29","http://www.ncbi.nlm.nih.gov/gene/?term=6355","C-C motif chemokine 8","6355","lk_analyte"
"Ccl8 ; Ccl8 ; ANA492","http://www.ncbi.nlm.nih.gov/gene/?term=20307","C-C motif chemokine 8","20307","lk_analyte"
"CCR1 ; CCR1 ; ANA30","http://www.ncbi.nlm.nih.gov/gene/?term=1230","chemokine receptor CCR1","1230","lk_analyte"
"Ccr1 ; Ccr1 ; ANA493","http://www.ncbi.nlm.nih.gov/gene/?term=12768","chemokine receptor CCR1","12768","lk_analyte"
"CCR10 ; CCR10 ; ANA31","http://www.ncbi.nlm.nih.gov/gene/?term=2826","C-C chemokine receptor type 10","2826","lk_analyte"
"Ccr10 ; Ccr10 ; ANA494","http://www.ncbi.nlm.nih.gov/gene/?term=12777","C-C chemokine receptor type 10","12777","lk_analyte"
"CCR2 ; CCR2 ; ANA32","http://www.ncbi.nlm.nih.gov/gene/?term=729230","C-C chemokine receptor type 2","729230","lk_analyte"
"Ccr2 ; Ccr2 ; ANA495","http://www.ncbi.nlm.nih.gov/gene/?term=12772","C-C chemokine receptor type 2","12772","lk_analyte"
"CCR3 ; CCR3 ; ANA33","http://www.ncbi.nlm.nih.gov/gene/?term=1232","chemokine receptor CCR3","1232","lk_analyte"
"Ccr3 ; Ccr3 ; ANA496","http://www.ncbi.nlm.nih.gov/gene/?term=12771","chemokine receptor CCR3","12771","lk_analyte"
"CCR4 ; CCR4 ; ANA34","http://www.ncbi.nlm.nih.gov/gene/?term=1233","C-C chemokine receptor type 4","1233","lk_analyte"
"Ccr4 ; Ccr4 ; ANA497","http://www.ncbi.nlm.nih.gov/gene/?term=12773","C-C chemokine receptor type 4","12773","lk_analyte"
"CCR5 ; CCR5 ; ANA35","http://www.ncbi.nlm.nih.gov/gene/?term=1234","C-C chemokine receptor type 5","1234","lk_analyte"
"Ccr5 ; Ccr5 ; ANA498","http://www.ncbi.nlm.nih.gov/gene/?term=12774","C-C chemokine receptor type 5","12774","lk_analyte"
"CCR6 ; CCR6 ; ANA36","http://www.ncbi.nlm.nih.gov/gene/?term=1235","C-C chemokine receptor type 6","1235","lk_analyte"
"Ccr6 ; Ccr6 ; ANA499","http://www.ncbi.nlm.nih.gov/gene/?term=12458","C-C chemokine receptor type 6","12458","lk_analyte"
"CCR7 ; CCR7 ; ANA37","http://www.ncbi.nlm.nih.gov/gene/?term=1236","C-C chemokine receptor type 7","1236","lk_analyte"
"Ccr7 ; Ccr7 ; ANA500","http://www.ncbi.nlm.nih.gov/gene/?term=12775","C-C chemokine receptor type 7","12775","lk_analyte"
"CCR8 ; CCR8 ; ANA38","http://www.ncbi.nlm.nih.gov/gene/?term=1237","C-C chemokine receptor type 8","1237","lk_analyte"
"Ccr8 ; Ccr8 ; ANA501","http://www.ncbi.nlm.nih.gov/gene/?term=12776","C-C chemokine receptor type 8","12776","lk_analyte"
"CCR9 ; CCR9 ; ANA39","http://www.ncbi.nlm.nih.gov/gene/?term=10803","C-C chemokine receptor type 9","10803","lk_analyte"
"Ccr9 ; Ccr9 ; ANA502","http://www.ncbi.nlm.nih.gov/gene/?term=12769","C-C chemokine receptor type 9","12769","lk_analyte"
"CD11c ; ITAX ; ANA814","","integrin alpha-X","3687","lk_analyte"
"CD14 ; CD14 ; ANA804","","CD14 molecule","929","lk_analyte"
"CD16 ; FCG3A ; ANA811","","low affinity immunoglobulin gamma Fc region receptor III-A","2214","lk_analyte"
"CD19 ; CD19 ; ANA805","","CD19 molecule","930","lk_analyte"
"CD20 ; CD20 ; ANA806","","membrane-spanning 4-domains subfamily A member 1","931","lk_analyte"
"CD24 ; CD24 ; ANA807","","signal transducer CD24","100133941","lk_analyte"
"CD27 ; CD27 ; ANA40","http://www.ncbi.nlm.nih.gov/gene/?term=939","CD27 molecule","939","lk_analyte"
