Block,Variable_Name,Variable_Type,Format
subjectsAnimal,User Defined ID,character,table
subjectsAnimal,Arm Or Cohort ID,character,table
subjectsAnimal,Gender,character,table
subjectsAnimal,Min Subject Age,double,table
subjectsAnimal,Max Subject Age,double,table
subjectsAnimal,Age Unit,character,table
subjectsAnimal,Age Event,character,table
subjectsAnimal,Age Event Specify,double,table
subjectsAnimal,Subject Phenotype,character,table
subjectsAnimal,Subject Location,character,table
subjectsAnimal,Species,character,table
subjectsAnimal,Strain,character,table
subjectsAnimal,Strain Characteristics,character,table
