"pvTableName","pv","conditionalRequired","description","conditionalDuplicateRequired","jsonAttribute","jsonDataType","foreignKeyTableName","required","combinedColumn","metaResultDataType","tableName","columnType","cv","cvTableName","comment","tableColumn","templateColumn","foreignKey","pvPreferredTableColumn","templateName"
NA,FALSE,FALSE,"The adverse event user defined ID is an identifier chosen by the data provider to refer to a adverse event. The user defined ID is not shared.",FALSE,"userDefinedId","string",NA,TRUE,FALSE,NA,"adverse_event","varchar(150)",FALSE,NA,"The identifier should be unique to the ImmPort workspace to which the data will be uploaded.","user_defined_id","User Defined ID",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"Please enter either a subject user defined ID or ImmPort accession for the subject for the reported adverse event.",FALSE,"subjectId","string","subject",TRUE,FALSE,NA,"adverse_event","varchar(15)",FALSE,NA,"Please enter either a subject user defined ID or ImmPort accession for the subject for the reported adverse event.","subject_accession","Subject ID",TRUE,NA,"adverseEvents"
NA,FALSE,FALSE,"An adverse event may be linked to a single study.",FALSE,"studyId","string","study",TRUE,FALSE,NA,"adverse_event","varchar(15)",FALSE,NA,"Please enter either a study user defined ID or ImmPort accession for the study in which the reported adverse event occurred.","study_accession","Study ID",TRUE,NA,"adverseEvents"
NA,FALSE,FALSE,"The adverse event name is a display name that is available when the data is shared, but it is not referenced by other data..",FALSE,"nameReported","string",NA,TRUE,FALSE,NA,"adverse_event","varchar(126)",FALSE,NA,"The adverse event name is an alternate identifier that is visible when the adverse event is shared.","name_reported","Name Reported",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"The preferred adverse event name is a term from the MedDRA (www.meddra.org) adverse event classification dictionary. This is an optional term and often updated by ImmPort staff by mapping AE reported names to MedDRA terms.",FALSE,"namePreferred","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(126)",FALSE,NA,"The preferred adverse event name is a term from the MedDRA (www.meddra.org) adverse event classification dictionary.","name_preferred","Name Preferred",FALSE,NA,"adverseEvents"
"lk_adverse_event_severity",TRUE,FALSE,"The severity value is chosen from a list of preferred terms.",FALSE,"severityReported","enum",NA,TRUE,FALSE,NA,"adverse_event","varchar(60)",FALSE,NA,"The severity value is chosen from a list of preferred terms.","severity_reported","Severity Reported",FALSE,"severity_preferred","adverseEvents"
NA,FALSE,FALSE,"Describe the outcome of the adverse event.",FALSE,"outcomeReported","string",NA,TRUE,FALSE,NA,"adverse_event","varchar(40)",FALSE,NA,"The outcome of the adverse event.","outcome_reported","Outcome Reported",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"The study day in which the adverse event was initially reported.",FALSE,"startStudyDay","number",NA,FALSE,FALSE,NA,"adverse_event","float",FALSE,NA,"The study day in which the adverse event was initially reported.","start_study_day","Start Study Day",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"The study day in which the adverse event ceased.",FALSE,"endStudyDay","number",NA,FALSE,FALSE,NA,"adverse_event","float",FALSE,NA,"The study day in which the adverse event ceased.","end_study_day","End Study Day",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"Was the adverse event believed to be related to a study intervention.",FALSE,"relationToStudyTreatment","string",NA,TRUE,FALSE,NA,"adverse_event","varchar(250)",FALSE,NA,"Was the adverse event believed to be related to a study intervention.","relation_to_study_treatment","Relation To Study Treatment",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"Which portion(s) of the subject was affected by the adverse event.",FALSE,"organOrBodySystemReported","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(126)",FALSE,NA,"Which portion(s) of the subject was affected by the adverse event.","organ_or_body_system_reported","Organ Or Body System Reported",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"A lengthier description of the adverse event.",FALSE,"description","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(4000)",FALSE,NA,"A lengthier description of the adverse event.","description","Description",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"Where on/in the subject was the adverse event reported.",FALSE,"locationOfReactionReported","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(126)",FALSE,NA,"Where on/in the subject was the adverse event reported.","location_of_reaction_reported","Location Of Reaction Reported",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"What was done to address the adverse event.",FALSE,"studyTreatmentActionTaken","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(250)",FALSE,NA,"What was done to address the adverse event.","study_treatment_action_taken","Study Treatment Action Taken",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"Was the adverse event related to some non-study intervention.",FALSE,"relationToNonstudyTreatment","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(250)",FALSE,NA,"Was the adverse event related to some non-study intervention.","relation_to_nonstudy_treatment","Relation To Nonstudy Treatment",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"Was the adverse event believed to be casued by a study intervention.",FALSE,"causality","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(250)",FALSE,NA,"Was the adverse event believed to be caused by a study intervention.","causality","Causality",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"Allows for describing the time during a study day in which an adverse event was reported.",FALSE,"startTime","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(40)",FALSE,NA,"Allows for describing the time during a study day in which an adverse event was reported.","start_time","Start Time",FALSE,NA,"adverseEvents"
NA,FALSE,FALSE,"Allows for describing the time during a study day in which an adverse event was reported.",FALSE,"endTime","string",NA,FALSE,FALSE,NA,"adverse_event","varchar(40)",FALSE,NA,"Allows for describing the time during a study day in which an adverse event was reported.","end_time","End Time",FALSE,NA,"adverseEvents"
NA,FALSE,TRUE,"Please enter either a subject user defined ID or ImmPort accession for the subject for the subject from which the assessment was completed. A single subject record is permitted.",FALSE,"subjectId","string",NA,TRUE,TRUE,"metaData","subject","varchar(100)",FALSE,NA,"Please enter either a subject user defined ID or ImmPort accession for the subject from which the assessment was completed.","user_defined_id","Subject ID",FALSE,NA,"assessments"
NA,FALSE,TRUE,"The assessment panel user defined ID is an identifier chosen by the data provider to refer to a set of assessments, often organized into a Case Report Form. This ID may be referenced by other data records (e.g. assessment). The user defined ID is not shared",FALSE,"assessmentPanelId","string",NA,TRUE,TRUE,"metaData","assessment_panel","varchar(100)",FALSE,NA,"Please enter either an assessment panel user defined ID or ImmPort accession.","user_defined_id","Assessment Panel ID",FALSE,NA,"assessments"
NA,FALSE,TRUE,"An assessment panel may be linked to a single study.",FALSE,"studyId","string","study",FALSE,FALSE,"metaData","assessment_panel","varchar(15)",FALSE,NA,"Please enter either a study user defined ID or ImmPort accession. This column is only required when both the assessment panel is new.","study_accession","Study ID",TRUE,NA,"assessments"
NA,FALSE,TRUE,"The assessment panel name is a display name that is available when the data is shared, but it is not referenced by other data.",FALSE,"nameReported","string",NA,FALSE,FALSE,"metaData","assessment_panel","varchar(125)",FALSE,NA,"The assessment panel name is an alternate identifier that is visible when the assessment panel is shared.","name_reported","Name Reported",FALSE,NA,"assessments"
NA,FALSE,FALSE,"The assessment type is not a constrained list of terms and suggested values include Physical Exam, Questionnaire, Medical History, Family History.",FALSE,"assessmentType","string",NA,FALSE,FALSE,"metaData","assessment_panel","varchar(125)",FALSE,NA,"Suggested values include Physical Exam, Questionnaire, Medical History, Family History.","assessment_type","Assessment Type",FALSE,NA,"assessments"
NA,FALSE,FALSE,"The assessment status is not a constrained list of terms and suggested values include Completed, Partial, and Not Completed.",FALSE,"status","string",NA,FALSE,FALSE,"metaData","assessment_panel","varchar(40)",FALSE,NA,"The assessment status is not a constrained list of terms and suggested values include Completed, Partial, and Not Completed.","status","Status",FALSE,NA,"assessments"
NA,FALSE,FALSE,"Separate file names by a semi-colon (;). The file size name limit is 240 characters.",FALSE,"crfFileNames","array",NA,FALSE,FALSE,"metaData",NA,NA,FALSE,NA,"Please enter CRF file(s) to link to the assessment panel. Separate file names by a semi-colon (;). The file size name limit is 240 characters.",NA,"CRF File Names",FALSE,NA,"assessments"
NA,FALSE,FALSE,"This pseudo column separates meta data from results.",FALSE,"resultSeparatorColumn","string",NA,FALSE,FALSE,"metaData",NA,NA,FALSE,NA,"This pseudo column separates the results (assessment components) from the assessment panel meta data. It must always appear and be the column that appears immediately after the last meta-data column and before any result columns.",NA,"Result Separator Column",FALSE,NA,"assessments"
NA,FALSE,FALSE,"The assessment component user defined ID is an identifier chosen by the data provider to refer to this assessment result. An assessment component is a portion of an assessment panel. The user defined ID is not shared.",FALSE,"userDefinedId","string",NA,TRUE,FALSE,"resultData","assessment_component","varchar(200)",FALSE,NA,"The assessment component identifier should be unique to the ImmPort workspace to which the data will be uploaded.","user_defined_id","User Defined ID",FALSE,NA,"assessments"
NA,FALSE,FALSE,"The link to a study's planned visit provides temporal context for a subjects assessment during the course of a study.",FALSE,"plannedVisitId","string","planned_visit",TRUE,FALSE,"resultData","assessment_component","varchar(15)",FALSE,NA,"Please enter either a study's planned visit user defined ID or ImmPort accession.","planned_visit_accession","Planned Visit ID",TRUE,NA,"assessments"
NA,FALSE,FALSE,"The assessment component name is a display name that is available when the data is shared, but it is not referenced by other data.",FALSE,"nameReported","string",NA,TRUE,FALSE,"resultData","assessment_component","varchar(150)",FALSE,NA,"The assessment component name is an alternate identifier that is visible when the sample is shared.","name_reported","Name Reported",FALSE,NA,"assessments"
NA,FALSE,FALSE,"Study time collected describes the time value for when the assessment was completed.",FALSE,"studyDay","number",NA,TRUE,FALSE,"resultData","assessment_component","float",FALSE,NA,"Please enter a number.","study_day","Study Day",FALSE,NA,"assessments"
NA,FALSE,FALSE,"Please indicate the age at which a condition reported in the assessment occurred.  This column is optional unless units (Age At Onset Unit Reported) is provided.",FALSE,"ageAtOnsetReported","number",NA,FALSE,FALSE,"resultData","assessment_component","varchar(100)",FALSE,NA,"Please enter a number.","age_at_onset_reported","Age At Onset Reported",FALSE,NA,"assessments"
